naslov,avtor,ocena,vse_ocene,kon_ocena,vsi_glasovi
Bridget Jones&#39;s Diary,Helen Fielding, 3.78 ,"881,076",36.093,497
A Court of Mist and Fury,Sarah J. Maas, 4.62 ,"331,136",36.042,389
Mrs. Dalloway,Virginia Woolf, 3.79 ,"223,112",35.923,476
Franny and Zooey,J.D. Salinger, 3.98 ,"185,472",35.744,457
Mockingjay,Suzanne Collins, 4.04 ,"2,345,592",35.595,460
The Power of One,Bryce Courtenay, 4.33 ,"79,201",35.382,405
The Magician&#39;s Nephew,C.S. Lewis, 4.04 ,"409,977",35.290,489
Stardust,Neil Gaiman, 4.08 ,"358,169",35.091,452
A Time to Kill,John Grisham, 4.07 ,"702,633",34.966,472
The Gunslinger,Stephen King, 3.95 ,"514,133",34.913,430
Number the Stars,Lois Lowry, 4.15 ,"447,957",34.665,456
Allegiant,Veronica Roth, 3.62 ,"825,832",34.417,422
Eleanor &amp; Park,Rainbow Rowell, 4.05 ,"859,077",34.392,401
Do Androids Dream of Electric Sheep?,Philip K. Dick, 4.08 ,"344,712",34.375,444
A Short History of Nearly Everything,Bill Bryson, 4.20 ,"297,655",34.290,413
The Lord of the Rings,J.R.R. Tolkien, 4.50 ,"564,004",34.125,409
The Mark of Athena,Rick Riordan, 4.45 ,"440,007",34.073,421
The Art of Racing in the Rain,Garth Stein, 4.21 ,"451,679",34.004,403
Me Before You,Jojo Moyes, 4.26 ,"1,147,128",33.973,395
If I Stay,Gayle Forman, 3.94 ,"711,731",33.968,407
Black Beauty,Anna Sewell, 3.96 ,"238,733",33.920,489
The Hound of the Baskervilles,Arthur Conan Doyle, 4.12 ,"253,619",33.889,471
The Way of Kings,Brandon Sanderson, 4.63 ,"301,984",33.834,357
A Portrait of the Artist as a Young Man,James Joyce, 3.62 ,"127,941",33.763,443
Legend,Marie Lu, 4.17 ,"410,545",33.729,387
Gulliver&#39;s Travels,Jonathan Swift, 3.57 ,"231,749",33.673,516
Bel Canto,Ann Patchett, 3.93 ,"239,360",33.500,405
American Psycho,Bret Easton Ellis, 3.81 ,"241,838",33.463,402
V for Vendetta,Alan Moore, 4.25 ,"263,931",33.219,433
Love You Forever,Robert Munsch, 4.36 ,"202,208",33.186,421
The Witches,Roald Dahl, 4.17 ,"313,235",33.065,443
القرآن الكريم,Anonymous, 4.35 ,"57,400",32.967,372
The Graveyard Book,Neil Gaiman, 4.13 ,"436,951",32.962,422
The Complete Novels,Jane Austen, 4.56 ,"29,689",32.890,442
Fifty Shades Freed,E.L. James, 3.85 ,"713,144",32.676,389
Cold Mountain,Charles Frazier, 3.86 ,"221,279",32.650,443
White Fang,Jack London, 3.98 ,"153,462",32.467,463
Wonder,R.J. Palacio, 4.44 ,"731,621",32.187,375
Beowulf,Unknown, 3.45 ,"238,511",31.884,459
